date,subject,action,object,topic,description,location,ref_title,ref_url
2012-10-24,clkao,註冊,g0v.tw,基礎建設,,,,
2012-12-15,第零次動員戡亂時期黑客松,,,大松,活動相簿：https://www.flickr.com/photos/g0v/albums/72157711184894017,中央研究院的資創中心,,https://g0v-tw.kktix.cc/events/dab224
2013-01-01,g0v 社群網頁,建立,,基礎建設,2021/11/26復活,,,
2013-01-08,ipa,撰寫,第零次大松紀錄,基礎建設,搶救國會資料大軍 https://ipaway.org/?p=2334,,,
2013-01-21,ipa,起草,g0v 宣言,基礎建設,,,,
2013-01-27,第壹次公地放領黑客松,,,大松,,,,https://g0v.hackpad.tw/g0v-hackath1n--aMUe1ynlv8y
2013-01-27,葉平,提案,還文於民 (萌典前身),萌典,,,,https://zh.wikipedia.org/wiki/%E8%90%8C%E5%85%B8
2013-01-27,ETBlue,提案,404失蹤兒少協尋專案,兒少,,,,
2013-03-13,ipa,撰寫,第壹次大松紀錄,基礎建設,迎接春天的公民資訊黑客松,,,https://ipaway.org/?p=2518#more-2518
2013-03-23,第貳次九大建設黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath2n
2013-06-08,第參次客廳工廠黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath3n
2013-06-23,緊急黑客松後松,,,小松,,,,https://g0v.hackpad.com/g0v-post-hackath3n-S1vBJjWnPnB
2013-07-19,跨設計哈拉松,,,小松,,,,
2013-08-10,第肆次國民大會黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath4n
2013-08-10,ronnywang,提案,新聞小幫手,假訊息,,,,
2013-08-10,nchild,提案,你被服貿了嗎？,,,,,
2013-08-10,ETBlue,提案,動民主,,,,,
2013-08-20,g0v Youtube 頻道,成立,,揪松,,,,
2013-09-24,秋天松,,,小松,,,,https://g0v.hackpad.tw/g0v-pre-hackath5n-EGJ462uUndj
2013-10-05,台南小吃松,,,小松,,,,https://g0v-tw.kktix.cc/events/g0v-tainan
2013-10-10,雙十松,,,小松,,,,https://g0v-tw.kktix.cc/events/doubleten-hackathon
2013-10-20,第伍次美麗島黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath5n
2013-11-10,立院組小松,,,國會,,,,https://g0v.hackpad.com/1110--KJrp3C7RusA
2013-11-23,第一次萌典松,,,萌典,,,,https://g0v-tw.kktix.cc/events/moedict
2013-12-21,第陸次勞動基準黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath6n
2013-12-21,pm5,提案,環境儀表板,,,,,
2013-12-21,Johnny,提案,立委投票指南,,,,,
2014-01-01,揪松團,成立,,揪松,,,,
2014-01-04,新年松,,,小松,,BOOKSHOW 說書會,,https://g0v-tw.kktix.cc/events/g0v-newyear2014
2014-01-20,立院組小松,,,國會,,,,https://g0v.hackpad.com/KJrp3C7RusA
2014-02-22,第柒次自由時代黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath7n
2014-02-22,a0kman,提案,超農域,,,,,
,,,,,,,,
2014-03-08,廢核遊行線路松,,,社運,,,,https://g0v.hackpad.tw/2014-03-08--jG9uno4d9H8
2014-03-18,太陽花學運,,,社運,,,,
2014-03-18,g0v.today,上線,,社運,,,,https://www.ithome.com.tw/news/86701
2014-03-22,第二次萌典松,,,萌典,,,,https://g0v-tw.kktix.cc/events/moedict-3-22
2014-03-29,第三次萌典松,,,萌典,,,,https://g0v.hackpad.tw/3-moed2ct-mo3dict-VP1m9n8937o
2014-04-19,第捌次解除戒嚴黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath8n
2014-04-19,開放政治獻金,發起,,政治獻金,,,,
2014-04-30,inLiveTW ,發起,,社運,,中央研究院,,https://www.youtube.com/watch?v=TN1-e_DCGYc
2014-05-13,第零次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2014-05-25,第四次萌典松,,,萌典,,,,https://g0v-tw.kktix.cc/events/moedict-8-2
2014-06-21,第玖次還我土地黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath9n
2014-08-12,第五次萌典松,,,萌典,,,,https://g0v-tw.kktix.cc/events/moedict-5-25
2014-08-16,前端教學松,,,小松,,,,https://g0v-tw.kktix.cc/events/fr0ntend-br3dge
2014-08-30,第拾次資料科學黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath10n
